執行日期,科目名稱,摘要,受款單位, 金額 
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立草屯高級商工職業學校,"405,243"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立鳳山高級中學,"405,243"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立嘉義高級商業職業學校,"382,531"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立暨南大學附屬高級中學,"405,243"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立竹山高級中學,"382,531"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立台南第二高級中學,"405,243"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立中央大學附屬中壢高級中學,"405,243"
112/01/17,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班行政助理計畫經費,國立鳳新高級中學,"348,760"
112/01/17,國民及學前教育行政及督導,分攤臺灣海洋教育中心112年度計畫經費,教育部,"3,000,000"
112/01/18,國民及學前教育行政及督導,112年度國民中小學閱讀推動計畫經費,國立南科國際實驗高級中學,"40,000"
112/01/18,國民及學前教育行政及督導,112年度國民中小學閱讀推動計畫經費,國立屏東大學附設實驗國民小學,"20,000"
112/01/18,國民及學前教育行政及督導,112年度國民中小學閱讀推動計畫經費,國立政治大學附屬高級中學,"20,000"
112/01/18,國民及學前教育行政及督導,112年度國民中小學閱讀推動計畫經費,國立臺灣戲曲學院,"20,000"
112/01/18,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立台南高級商業職業學校,"321,489"
112/01/18,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立白河高級商工職業學校,"18,522"
112/01/18,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立內埔高級農工職業學校,"130,536"
112/01/18,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立花蓮高級工業職業學校,"265,923"
112/01/18,國民及學前教育行政及督導,111學年度技術型及綜合型高級中等學校十二年國民基本教育課程綱要前導學校工作計畫,國立臺北科技大學附屬桃園農工高級中等學校,"750,000"
112/01/18,國民及學前教育行政及督導,111學年度技術型及綜合型高級中等學校十二年國民基本教育課程綱要前導學校工作計畫,國立花蓮高級農業職業學校,"750,000"
112/01/18,國民及學前教育行政及督導,111學年度技術型及綜合型高級中等學校十二年國民基本教育課程綱要前導學校工作計畫,國立北門高級農工職業學校,"800,000"
112/01/18,國民及學前教育行政及督導,111學年度辦理非營利幼兒園相關業務經費,國家科學及技術委員會南部科學園區管理局,"200,000"
112/01/19,國民及學前教育行政及督導,112年臨時約聘職業輔導員經費,國立白河高級商工職業學校,"602,939"
112/01/19,國民及學前教育行政及督導,112年臨時約聘職業輔導員經費,國立臺南特殊教育學校,"576,939"
112/01/19,國民及學前教育行政及督導,111學年度第2學期辦理兒童課後暨寒暑假照顧經費,國立嘉義特教學校,"1,126,779"
112/01/19,國民及學前教育行政及督導,111學年度第2學期辦理兒童課後暨寒暑假照顧經費,國立臺南大學附屬啟聰學校,"271,020"
112/01/19,國民及學前教育行政及督導,111學年度第2學期辦理兒童課後暨寒暑假照顧經費,國立花蓮特殊教育學校,"711,556"
112/01/19,國民及學前教育行政及督導,112年臨時約聘職業輔導員經費,國立台南高級工業職業學校,"590,000"
112/01/19,國民及學前教育行政及督導,112年臨時約聘職業輔導員經費,國立岡山高級農工職業學校,"600,120"
112/01/19,國民及學前教育行政及督導,群英堂環境改善計畫,國立台南第一高級中學,"4,400,000"
112/01/19,國民及學前教育行政及督導,國立高級中等學校老舊危險電力系統改善計畫(110至112年度),國立基隆高級中學,"3,000,000"
112/01/19,國民及學前教育行政及督導,國立高級中等學校老舊危險電力系統改善計畫(110至112年度),國立彰化高級中學,"2,500,000"
112/01/19,國民及學前教育行政及督導,國立高級中等學校老舊危險電力系統改善計畫(110至112年度),國立內埔高級農工職業學校,"2,800,000"
112/01/19,國民及學前教育行政及督導,國立高級中等學校老舊危險電力系統改善計畫(110至112年度),國立北港高級農工職業學校,"3,000,000"
112/01/19,國民及學前教育行政及督導,國立高級中等學校老舊危險電力系統改善計畫(110至112年度),國立後壁高級中學,"2,900,000"
112/01/19,國民及學前教育行政及督導,教學環境及設施設備改善,國立台南第一高級中學,"4,000,000"
112/01/19,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立苗栗高級農工職業學校,"261,954"
112/01/19,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立暨南大學附屬高級中學,"238,140"
112/01/19,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立台南第一高級中學,"556,227"
112/01/19,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,國立潮州高級中學,"264,600"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立宜蘭高級中學,"12,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立北港高級農工職業學校,"13,500"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立曾文高級家事商業職業學校,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立嘉義高級商業職業學校,"25,500"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立花蓮女子高級中學,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立台東專科學校校務基金,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立北門高級中學,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立中央大學附屬中壢高級中學,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立臺東大學附屬體育高級中學,"14,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立成功大學,"12,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立後壁高級中學,"12,000"
112/01/19,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,國立金門高級農工職業學校,"24,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義高級中學,"14,011,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立東石高級中學,"9,656,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新港藝術高級中學,"3,926,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義女子高級中學,"11,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義高級工業職業學校,"21,595,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義高級商業職業學校,"12,640,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立華南高級商業職業學校,"9,841,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立民雄高級農工職業學校,"10,897,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義高級家事職業學校,"9,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立斗六高級中學,"10,826,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立虎尾高級中學,"9,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立北港高級中學,"10,100,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立西螺高級農工職業學校,"12,011,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立虎尾高級農工職業學校,"13,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立北港高級農工職業學校,"8,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立土庫高級商工職業學校,"8,048,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立斗六高級家事商業職業學校,"7,795,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立基隆高級中學,"7,700,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺灣師範大學附屬高級中學,"22,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立政治大學附屬高級中學,"7,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立華僑高級中學,"13,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立中央大學附屬中壢高級中學,"13,083,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新竹高級中學,"12,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立竹東高級中學,"11,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立竹北高級中學,"16,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立關西高級中學,"7,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立苗栗高級中學,"9,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立竹南高級中學,"11,171,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立卓蘭高級中等學校,"11,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立苑裡高級中學,"8,711,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立基隆女子高級中學,"10,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新竹女子高級中學,"13,250,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新竹高級工業職業學校,"12,288,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新竹高級商業職業學校,"9,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立苗栗高級商業職業學校,"7,750,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺北科技大學附屬桃園農工高級中等學校,"19,344,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立苗栗高級農工職業學校,"13,906,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立大湖高級農工職業學校,"8,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立基隆高級商工職業學校,"14,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺灣海洋大學附屬基隆海事高級中等學校,"14,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立中興大學附屬高級中學,"12,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立彰化高級中學,"15,752,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立員林高級中學,"10,264,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立鹿港高級中學,"10,550,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立溪湖高級中學,"10,647,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立屏東高級中學,"13,896,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立屏北高級中學,"8,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立潮州高級中學,"8,690,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立彰化女子高級中學,"10,245,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立屏東女子高級中學,"13,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立員林崇實高級工業職業學校,"10,400,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立永靖高級工業職業學校,"10,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立秀水高級工業職業學校,"12,147,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立彰化師範大學附屬高級工業職業學校,"20,275,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立屏東高級工業職業學校,"16,100,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立中興大學附屬台中高級農業職業學校,"16,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立佳冬高級農業職業學校,"10,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立彰化高級商業職業學校,"16,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立員林高級農工職業學校,"12,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立內埔高級農工職業學校,"9,700,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立二林高級工商職業學校,"13,636,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立恆春高級工商職業學校,"9,015,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立員林高級家事商業職業學校,"9,636,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立北斗高級家事商業職業學校,"10,590,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立東港高級海事水產職業學校,"9,116,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立台東高級中學,"7,888,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺東大學附屬體育高級中學,"5,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立台東女子高級中學,"7,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立台東高級商業職業學校,"9,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立關山高級工商職業學校,"6,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立成功商業水產職業學校,"4,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮高級中學,"8,372,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立玉里高級中學,"8,750,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮女子高級中學,"7,600,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮高級工業職業學校,"12,922,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮高級農業職業學校,"11,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮高級商業職業學校,"8,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立光復高級商工職業學校,"5,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立馬公高級中學,"11,389,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立金門高級中學,"8,790,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立馬祖高級中學,"5,355,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立金門高級農工職業學校,"11,096,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立澎湖高級海事水產職業學校,"12,509,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立南投高級中學,"12,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立暨南大學附屬高級中學,"9,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立竹山高級中學,"10,370,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立中興高級中學,"8,678,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立埔里高級工業職業學校,"9,685,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立仁愛高級農業職業學校,"5,700,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立南投高級商業職業學校,"9,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立草屯高級商工職業學校,"12,588,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立水里高級商工職業學校,"9,363,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立宜蘭高級中學,"9,741,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立羅東高級中學,"9,945,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立蘭陽女子高級中學,"11,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立羅東高級工業職業學校,"12,105,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立宜蘭高級商業職業學校,"11,400,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立羅東高級商業職業學校,"10,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立頭城高級家事商業職業學校,"12,844,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立蘇澳高級海事水產職業學校,"11,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立高雄師範大學附屬高級中學,"9,300,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立中山大學附屬國光高級中學,"10,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立岡山高級中學,"9,282,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立鳳山高級中學,"13,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立鳳新高級中學,"12,216,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立旗美高級中學,"6,400,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立岡山高級農工職業學校,"15,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立旗山高級農工職業學校,"12,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立鳳山高級商工職業學校,"19,000,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立高雄餐旅大學附屬餐旅高級中等學校,"3,830,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺南大學附屬啟聰學校,"7,114,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立和美實驗學校,"10,200,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立彰化特殊教育學校,"10,050,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立嘉義特教學校,"7,505,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立臺南特殊教育學校,"8,632,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立花蓮特殊教育學校,"5,250,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立宜蘭特殊教育學校,"4,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立苗栗特殊教育學校,"4,637,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立雲林特殊教育學校,"5,819,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立基隆特殊教育學校,"4,800,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立屏東特殊教育學校,"4,500,000"
112/01/01,國立高級中等學校教學與訓輔輔助,大額通報教補12月30日-112年1月份校務基金學校薪資,國立新竹特殊教育學校,"5,524,000"
